"descripcion","fecha","cuenta"
NO HAY IMAGENES PARA DESCARGAR,2023-12-29,3
FALTA COTIZ. SALUD,2023-12-29,5
NO DERECHO A PAGO SUBSIDIO,2023-12-29,1
NO IMAGENES CON API,2023-12-29,1
NO PROCESADO MEDIPASS,2023-12-29,38
NO PROCESADO MEDIPASS,2023-12-28,131
NO HAY IMAGENES PARA DESCARGAR,2023-12-28,15
COTIZ < LIQ DE SUELDO,2023-12-28,58
FALTA COTIZ. SALUD,2023-12-28,14
RENTA = TOPE,2023-12-28,17
NO IMAGENES CON API,2023-12-28,2
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-27,1
NO IMAGENES CON API,2023-12-27,1
FALTA COTIZ. SALUD,2023-12-27,10
RENTA = TOPE,2023-12-27,16
NO PROCESADO MEDIPASS,2023-12-27,137
NO HAY IMAGENES PARA DESCARGAR,2023-12-27,11
COTIZ < LIQ DE SUELDO,2023-12-27,77
NO PROCESADO MEDIPASS,2023-12-26,142
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-26,1
COTIZ < LIQ DE SUELDO,2023-12-26,63
FALTA COTIZ. SALUD,2023-12-26,13
NO HAY IMAGENES PARA DESCARGAR,2023-12-26,13
NO IMAGENES CON API,2023-12-26,54
RENTA = TOPE,2023-12-26,8
RENTA = TOPE,2023-12-25,1
COTIZ < LIQ DE SUELDO,2023-12-25,1
NO PROCESADO MEDIPASS,2023-12-25,12
FALTA COTIZ. SALUD,2023-12-25,1
NO IMAGENES CON API,2023-12-23,1
NO IMAGENES CON API,2023-12-22,2
NO PROCESADO MEDIPASS,2023-12-22,119
FALTA COTIZ. SALUD,2023-12-22,5
NO HAY IMAGENES PARA DESCARGAR,2023-12-22,10
COTIZ < LIQ DE SUELDO,2023-12-22,53
RENTA = TOPE,2023-12-22,8
COTIZ < LIQ DE SUELDO,2023-12-21,62
RENTA = TOPE,2023-12-21,10
FALTA COTIZ. SALUD,2023-12-21,12
NO HAY IMAGENES PARA DESCARGAR,2023-12-21,14
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-21,1
NO IMAGENES CON API,2023-12-21,1
NO PROCESADO MEDIPASS,2023-12-21,118
NO PROCESADO MEDIPASS,2023-12-20,170
RENTA = TOPE,2023-12-20,11
NO HAY IMAGENES PARA DESCARGAR,2023-12-20,32
FALTA COTIZ. SALUD,2023-12-20,13
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-20,1
COTIZ < LIQ DE SUELDO,2023-12-20,75
NO IMAGENES CON API,2023-12-19,2
COTIZ < LIQ DE SUELDO,2023-12-19,65
NO HAY IMAGENES PARA DESCARGAR,2023-12-19,10
FALTA COTIZ. SALUD,2023-12-19,9
RENTA = TOPE,2023-12-19,13
NO PROCESADO MEDIPASS,2023-12-19,145
NO HAY IMAGENES PARA DESCARGAR,2023-12-18,13
COTIZ < LIQ DE SUELDO,2023-12-18,58
NO PROCESADO MEDIPASS,2023-12-18,126
RENTA = TOPE,2023-12-18,28
NO IMAGENES CON API,2023-12-18,3
FALTA COTIZ. SALUD,2023-12-18,17
NO HAY IMAGENES PARA DESCARGAR,2023-12-15,11
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-15,1
COTIZ < LIQ DE SUELDO,2023-12-15,67
RENTA = TOPE,2023-12-15,13
FALTA COTIZ. SALUD,2023-12-15,23
NO PROCESADO MEDIPASS,2023-12-15,156
NO HAY IMAGENES PARA DESCARGAR,2023-12-14,10
COTIZ < LIQ DE SUELDO,2023-12-14,71
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-14,1
RENTA = TOPE,2023-12-14,13
NO PROCESADO MEDIPASS,2023-12-14,150
FALTA COTIZ. SALUD,2023-12-14,44
COTIZ < LIQ DE SUELDO,2023-12-13,54
NO PROCESADO MEDIPASS,2023-12-13,107
NO HAY IMAGENES PARA DESCARGAR,2023-12-13,8
NO IMAGENES CON API,2023-12-13,84
FALTA COTIZ. SALUD,2023-12-13,28
RENTA = TOPE,2023-12-13,14
FALTA COTIZ. SALUD,2023-12-12,56
COTIZ < LIQ DE SUELDO,2023-12-12,74
NO PROCESADO MEDIPASS,2023-12-12,160
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-12,2
NO HAY IMAGENES PARA DESCARGAR,2023-12-12,15
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-12,1
NO IMAGENES CON API,2023-12-12,8
RENTA = TOPE,2023-12-12,14
NO DERECHO A PAGO SUBSIDIO,2023-12-11,1
COTIZ < LIQ DE SUELDO,2023-12-11,74
NO HAY IMAGENES PARA DESCARGAR,2023-12-11,6
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-11,1
NO PROCESADO MEDIPASS,2023-12-11,128
FALTA COTIZ. SALUD,2023-12-11,65
RENTA = TOPE,2023-12-11,19
NO IMAGENES CON API,2023-12-11,57
NO PROCESADO MEDIPASS,2023-12-10,3
FALTA COTIZ. SALUD,2023-12-09,1
COTIZ < LIQ DE SUELDO,2023-12-09,1
FALTA COTIZ. SALUD,2023-12-08,1
NO HAY IMAGENES PARA DESCARGAR,2023-12-07,14
RENTA = TOPE,2023-12-07,19
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-07,1
NO PROCESADO MEDIPASS,2023-12-07,165
FALTA COTIZ. SALUD,2023-12-07,59
COTIZ < LIQ DE SUELDO,2023-12-07,64
COTIZ < LIQ DE SUELDO,2023-12-06,105
NO HAY IMAGENES PARA DESCARGAR,2023-12-06,13
NO PROCESADO MEDIPASS,2023-12-06,160
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-06,1
RENTA = TOPE,2023-12-06,22
FALTA COTIZ. SALUD,2023-12-06,76
NO PROCESADO MEDIPASS,2023-12-05,172
COTIZ < LIQ DE SUELDO,2023-12-05,66
FALTA COTIZ. SALUD,2023-12-05,49
NO IMAGENES CON API,2023-12-05,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-05,1
RENTA = TOPE,2023-12-05,11
NO HAY IMAGENES PARA DESCARGAR,2023-12-05,9
RENTA = TOPE,2023-12-04,15
COTIZ < LIQ DE SUELDO,2023-12-04,81
FALTA COTIZ. SALUD,2023-12-04,23
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-04,2
NO HAY IMAGENES PARA DESCARGAR,2023-12-04,7
NO PROCESADO MEDIPASS,2023-12-04,168
NO PROCESADO MEDIPASS,2023-12-03,1
NO PROCESADO MEDIPASS,2023-12-02,2
NO PROCESADO MEDIPASS,2023-12-01,186
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-12-01,1
RENTA = TOPE,2023-12-01,18
COTIZ < LIQ DE SUELDO,2023-12-01,100
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-12-01,2
FALTA COTIZ. SALUD,2023-12-01,33
NO IMAGENES CON API,2023-12-01,48
NO HAY IMAGENES PARA DESCARGAR,2023-12-01,14
FALTA COTIZ. SALUD,2023-11-30,10
NO PROCESADO MEDIPASS,2023-11-30,72
NO IMAGENES CON API,2023-11-30,4
COTIZ < LIQ DE SUELDO,2023-11-30,40
NO HAY IMAGENES PARA DESCARGAR,2023-11-30,9
RENTA = TOPE,2023-11-30,11
RENTA = TOPE,2023-11-29,8
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-29,1
NO PROCESADO MEDIPASS,2023-11-29,141
FALTA COTIZ. SALUD,2023-11-29,30
NO HAY IMAGENES PARA DESCARGAR,2023-11-29,15
COTIZ < LIQ DE SUELDO,2023-11-29,71
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-28,1
NO PROCESADO MEDIPASS,2023-11-28,149
NO HAY IMAGENES PARA DESCARGAR,2023-11-28,15
FALTA COTIZ. SALUD,2023-11-28,18
RENTA = TOPE,2023-11-28,21
COTIZ < LIQ DE SUELDO,2023-11-28,70
NO PROCESADO MEDIPASS,2023-11-27,172
COTIZ < LIQ DE SUELDO,2023-11-27,94
FALTA COTIZ. SALUD,2023-11-27,25
NO IMAGENES CON API,2023-11-27,54
RENTA = TOPE,2023-11-27,20
NO SE ENCUENTRA CODIGO AFP,2023-11-27,1
NO HAY IMAGENES PARA DESCARGAR,2023-11-27,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-27,2
NO PROCESADO MEDIPASS,2023-11-26,1
FALTA COTIZ. SALUD,2023-11-26,1
COTIZ < LIQ DE SUELDO,2023-11-25,1
NO PROCESADO MEDIPASS,2023-11-25,3
RENTA = TOPE,2023-11-24,21
NO PROCESADO MEDIPASS,2023-11-24,149
COTIZ < LIQ DE SUELDO,2023-11-24,84
NO HAY IMAGENES PARA DESCARGAR,2023-11-24,2
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-11-24,2
FALTA COTIZ. SALUD,2023-11-24,26
FALTA COTIZ. SALUD,2023-11-23,47
NO PROCESADO MEDIPASS,2023-11-23,170
NO HAY IMAGENES PARA DESCARGAR,2023-11-23,12
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-23,1
RENTA = TOPE,2023-11-23,18
COTIZ < LIQ DE SUELDO,2023-11-23,78
FALTA COTIZ. SALUD,2023-11-22,51
COTIZ < LIQ DE SUELDO,2023-11-22,114
NO IMAGENES CON API,2023-11-22,1
NO PROCESADO MEDIPASS,2023-11-22,187
NO HAY IMAGENES PARA DESCARGAR,2023-11-22,9
RENTA = TOPE,2023-11-22,16
RENTA = TOPE,2023-11-21,11
COTIZ < LIQ DE SUELDO,2023-11-21,61
NO IMAGENES CON API,2023-11-21,13
FALTA COTIZ. SALUD,2023-11-21,39
NO PROCESADO MEDIPASS,2023-11-21,144
NO HAY IMAGENES PARA DESCARGAR,2023-11-21,6
FALTA COTIZ. SALUD,2023-11-20,45
NO IMAGENES CON API,2023-11-20,50
RENTA = TOPE,2023-11-20,9
NO PROCESADO MEDIPASS,2023-11-20,201
COTIZ < LIQ DE SUELDO,2023-11-20,114
NO SE ENCUENTRA CODIGO AFP,2023-11-20,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-20,1
NO HAY IMAGENES PARA DESCARGAR,2023-11-20,11
NO PROCESADO MEDIPASS,2023-11-19,2
NO PROCESADO MEDIPASS,2023-11-17,128
COTIZ < LIQ DE SUELDO,2023-11-17,87
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-17,1
NO SE ENCUENTRA CODIGO AFP,2023-11-17,1
RENTA = TOPE,2023-11-17,7
NO HAY IMAGENES PARA DESCARGAR,2023-11-17,10
FALTA COTIZ. SALUD,2023-11-17,31
NO IMAGENES CON API,2023-11-17,72
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-16,1
NO HAY IMAGENES PARA DESCARGAR,2023-11-16,6
FALTA COTIZ. SALUD,2023-11-16,21
RENTA = TOPE,2023-11-16,9
NO IMAGENES CON API,2023-11-16,150
NO PROCESADO MEDIPASS,2023-11-16,124
COTIZ < LIQ DE SUELDO,2023-11-16,77
RENTA = TOPE,2023-11-15,9
NO IMAGENES CON API,2023-11-15,18
NO PROCESADO MEDIPASS,2023-11-15,170
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-11-15,2
FALTA COTIZ. SALUD,2023-11-15,47
NO HAY IMAGENES PARA DESCARGAR,2023-11-15,7
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-15,1
COTIZ < LIQ DE SUELDO,2023-11-15,88
NO HAY IMAGENES PARA DESCARGAR,2023-11-14,13
COTIZ < LIQ DE SUELDO,2023-11-14,84
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-14,2
FALTA COTIZ. SALUD,2023-11-14,37
NO IMAGENES CON API,2023-11-14,2
NO PROCESADO MEDIPASS,2023-11-14,215
RENTA = TOPE,2023-11-14,10
RENTA = TOPE,2023-11-13,10
NO HAY IMAGENES PARA DESCARGAR,2023-11-13,22
FALTA COTIZ. SALUD,2023-11-13,55
COTIZ < LIQ DE SUELDO,2023-11-13,83
NO IMAGENES CON API,2023-11-13,41
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-13,1
NO PROCESADO MEDIPASS,2023-11-13,176
COTIZ < LIQ DE SUELDO,2023-11-12,10
NO HAY IMAGENES PARA DESCARGAR,2023-11-12,3
NO PROCESADO MEDIPASS,2023-11-12,9
FALTA COTIZ. SALUD,2023-11-12,2
FALTA COTIZ. SALUD,2023-11-11,1
RENTA = TOPE,2023-11-10,8
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-10,3
FALTA COTIZ. SALUD,2023-11-10,64
NO HAY IMAGENES PARA DESCARGAR,2023-11-10,19
COTIZ < LIQ DE SUELDO,2023-11-10,66
NO PROCESADO MEDIPASS,2023-11-10,161
NO PROCESADO MEDIPASS,2023-11-09,154
COTIZ < LIQ DE SUELDO,2023-11-09,85
NO IMAGENES CON API,2023-11-09,1
FALTA COTIZ. SALUD,2023-11-09,67
NO HAY IMAGENES PARA DESCARGAR,2023-11-09,24
RENTA = TOPE,2023-11-09,9
NO SE ENCUENTRA CODIGO AFP,2023-11-08,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-08,3
NO PROCESADO MEDIPASS,2023-11-08,187
FALTA COTIZ. SALUD,2023-11-08,79
NO HAY IMAGENES PARA DESCARGAR,2023-11-08,21
COTIZ < LIQ DE SUELDO,2023-11-08,97
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-11-08,1
RENTA = TOPE,2023-11-08,16
NO IMAGENES CON API,2023-11-08,1
FALTA COTIZ. SALUD,2023-11-07,73
NO HAY IMAGENES PARA DESCARGAR,2023-11-07,45
RENTA = TOPE,2023-11-07,13
COTIZ < LIQ DE SUELDO,2023-11-07,102
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-07,1
NO PROCESADO MEDIPASS,2023-11-07,207
NO IMAGENES CON API,2023-11-07,1
FALTA COTIZ. SALUD,2023-11-06,47
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-06,2
RENTA = TOPE,2023-11-06,15
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-11-06,1
NO HAY IMAGENES PARA DESCARGAR,2023-11-06,9
NO IMAGENES CON API,2023-11-06,45
COTIZ < LIQ DE SUELDO,2023-11-06,97
NO PROCESADO MEDIPASS,2023-11-06,139
NO PROCESADO MEDIPASS,2023-11-05,2
NO HAY IMAGENES PARA DESCARGAR,2023-11-04,1
RENTA = TOPE,2023-11-03,25
NO SE ENCUENTRA CODIGO AFP,2023-11-03,1
COTIZ < LIQ DE SUELDO,2023-11-03,71
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-03,1
NO PROCESADO MEDIPASS,2023-11-03,132
FALTA COTIZ. SALUD,2023-11-03,38
NO HAY IMAGENES PARA DESCARGAR,2023-11-03,12
FALTA COTIZ. SALUD,2023-11-02,35
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-11-02,2
NO PROCESADO MEDIPASS,2023-11-02,225
NO IMAGENES CON API,2023-11-02,46
COTIZ < LIQ DE SUELDO,2023-11-02,109
NO HAY IMAGENES PARA DESCARGAR,2023-11-02,12
RENTA = TOPE,2023-11-02,36
NO PROCESADO MEDIPASS,2023-11-01,2
FALTA COTIZ. SALUD,2023-11-01,1
RENTA = TOPE,2023-10-31,4
COTIZ < LIQ DE SUELDO,2023-10-31,22
NO IMAGENES CON API,2023-10-31,1
FALTA COTIZ. SALUD,2023-10-31,13
NO PROCESADO MEDIPASS,2023-10-31,81
NO HAY IMAGENES PARA DESCARGAR,2023-10-31,6
NO HAY IMAGENES PARA DESCARGAR,2023-10-30,11
NO IMAGENES CON API,2023-10-30,47
RENTA = TOPE,2023-10-30,17
FALTA COTIZ. SALUD,2023-10-30,15
NO PROCESADO MEDIPASS,2023-10-30,151
COTIZ < LIQ DE SUELDO,2023-10-30,33
FALTA COTIZ. SALUD,2023-10-29,2
NO PROCESADO MEDIPASS,2023-10-29,7
FALTA COTIZ. SALUD,2023-10-28,1
NO PROCESADO MEDIPASS,2023-10-28,1
NO IMAGENES CON API,2023-10-27,1
COTIZ < LIQ DE SUELDO,2023-10-27,1
FALTA COTIZ. SALUD,2023-10-26,23
NO PROCESADO MEDIPASS,2023-10-26,151
RENTA = TOPE,2023-10-26,16
COTIZ < LIQ DE SUELDO,2023-10-26,64
NO IMAGENES CON API,2023-10-26,1
NO HAY IMAGENES PARA DESCARGAR,2023-10-26,11
NO DERECHO A PAGO SUBSIDIO,2023-10-26,1
NO PROCESADO MEDIPASS,2023-10-25,127
FALTA COTIZ. SALUD,2023-10-25,15
COTIZ < LIQ DE SUELDO,2023-10-25,59
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-25,1
NO HAY IMAGENES PARA DESCARGAR,2023-10-25,3
RENTA = TOPE,2023-10-25,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-24,1
NO IMAGENES CON API,2023-10-24,1
NO PROCESADO MEDIPASS,2023-10-24,204
FALTA COTIZ. SALUD,2023-10-24,27
COTIZ < LIQ DE SUELDO,2023-10-24,83
NO HAY IMAGENES PARA DESCARGAR,2023-10-24,3
RENTA = TOPE,2023-10-24,16
FALTA COTIZ. SALUD,2023-10-23,24
NO HAY IMAGENES PARA DESCARGAR,2023-10-23,8
COTIZ < LIQ DE SUELDO,2023-10-23,95
NO SE ENCUENTRA CODIGO AFP,2023-10-23,1
NO PROCESADO MEDIPASS,2023-10-23,178
RENTA = TOPE,2023-10-23,16
NO IMAGENES CON API,2023-10-23,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-23,2
NO PROCESADO MEDIPASS,2023-10-22,1
NO HAY IMAGENES PARA DESCARGAR,2023-10-20,16
NO PROCESADO MEDIPASS,2023-10-20,166
COTIZ < LIQ DE SUELDO,2023-10-20,72
FALTA COTIZ. SALUD,2023-10-20,10
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-20,1
RENTA = TOPE,2023-10-20,25
NO IMAGENES CON API,2023-10-19,1
COTIZ < LIQ DE SUELDO,2023-10-19,74
RENTA = TOPE,2023-10-19,20
NO DERECHO A PAGO SUBSIDIO,2023-10-19,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-19,4
NO PROCESADO MEDIPASS,2023-10-19,150
NO HAY IMAGENES PARA DESCARGAR,2023-10-19,21
FALTA COTIZ. SALUD,2023-10-19,26
NO PROCESADO MEDIPASS,2023-10-18,190
NO SE ENCUENTRA CODIGO AFP,2023-10-18,1
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-18,1
NO HAY IMAGENES PARA DESCARGAR,2023-10-18,15
RENTA = TOPE,2023-10-18,21
COTIZ < LIQ DE SUELDO,2023-10-18,103
FALTA COTIZ. SALUD,2023-10-18,23
FALTA COTIZ. SALUD,2023-10-17,29
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-10-17,1
RENTA = TOPE,2023-10-17,17
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-17,1
NO PROCESADO MEDIPASS,2023-10-17,170
COTIZ < LIQ DE SUELDO,2023-10-17,108
NO HAY IMAGENES PARA DESCARGAR,2023-10-17,11
NO DERECHO A PAGO SUBSIDIO,2023-10-17,1
RENTA = TOPE,2023-10-16,19
NO PROCESADO MEDIPASS,2023-10-16,159
FALTA COTIZ. SALUD,2023-10-16,51
COTIZ < LIQ DE SUELDO,2023-10-16,91
NO HAY IMAGENES PARA DESCARGAR,2023-10-16,10
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-16,2
NO SE ENCUENTRA CODIGO AFP,2023-10-16,1
NO PROCESADO MEDIPASS,2023-10-15,1
RENTA = TOPE,2023-10-13,10
COTIZ < LIQ DE SUELDO,2023-10-13,71
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-13,1
FALTA COTIZ. SALUD,2023-10-13,37
NO HAY IMAGENES PARA DESCARGAR,2023-10-13,17
NO IMAGENES CON API,2023-10-13,1
NO PROCESADO MEDIPASS,2023-10-13,162
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-12,1
COTIZ < LIQ DE SUELDO,2023-10-12,79
FALTA COTIZ. SALUD,2023-10-12,59
NO HAY IMAGENES PARA DESCARGAR,2023-10-12,9
RENTA = TOPE,2023-10-12,31
NO IMAGENES CON API,2023-10-12,2
NO PROCESADO MEDIPASS,2023-10-12,160
NO SE ENCUENTRA CODIGO AFP,2023-10-12,1
COTIZ < LIQ DE SUELDO,2023-10-11,85
NO HAY IMAGENES PARA DESCARGAR,2023-10-11,15
FALTA COTIZ. SALUD,2023-10-11,88
RENTA = TOPE,2023-10-11,33
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-10-11,1
NO IMAGENES CON API,2023-10-11,6
NO PROCESADO MEDIPASS,2023-10-11,205
NO PROCESADO MEDIPASS,2023-10-10,200
COTIZ < LIQ DE SUELDO,2023-10-10,84
RENTA = TOPE,2023-10-10,17
FALTA COTIZ. SALUD,2023-10-10,81
NO HAY IMAGENES PARA DESCARGAR,2023-10-10,17
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-10,3
NO PROCESADO MEDIPASS,2023-10-09,5
COTIZ < LIQ DE SUELDO,2023-10-09,1
FALTA COTIZ. SALUD,2023-10-09,2
NO PROCESADO MEDIPASS,2023-10-08,2
COTIZ < LIQ DE SUELDO,2023-10-07,1
FALTA COTIZ. SALUD,2023-10-07,1
FALTA COTIZ. SALUD,2023-10-06,59
RENTA = TOPE,2023-10-06,19
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-06,4
COTIZ < LIQ DE SUELDO,2023-10-06,58
NO PROCESADO MEDIPASS,2023-10-06,143
NO HAY IMAGENES PARA DESCARGAR,2023-10-06,9
NO IMAGENES CON API,2023-10-06,4
NO IMAGENES CON API,2023-10-05,154
COTIZ < LIQ DE SUELDO,2023-10-05,73
NO PROCESADO MEDIPASS,2023-10-05,144
RENTA = TOPE,2023-10-05,12
FALTA COTIZ. SALUD,2023-10-05,60
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-05,1
NO HAY IMAGENES PARA DESCARGAR,2023-10-05,7
RENTA = TOPE,2023-10-04,18
COTIZ < LIQ DE SUELDO,2023-10-04,63
NO IMAGENES CON API,2023-10-04,15
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-04,3
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-10-04,1
NO PROCESADO MEDIPASS,2023-10-04,168
FALTA COTIZ. SALUD,2023-10-04,44
NO HAY IMAGENES PARA DESCARGAR,2023-10-04,22
NO PROCESADO MEDIPASS,2023-10-03,148
RENTA = TOPE,2023-10-03,18
NO IMAGENES CON API,2023-10-03,3
NO HAY IMAGENES PARA DESCARGAR,2023-10-03,9
COTIZ < LIQ DE SUELDO,2023-10-03,72
FALTA COTIZ. SALUD,2023-10-03,40
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-10-02,2
RENTA = TOPE,2023-10-02,37
NO HAY IMAGENES PARA DESCARGAR,2023-10-02,10
NO PROCESADO MEDIPASS,2023-10-02,234
NO IMAGENES CON API,2023-10-02,52
COTIZ < LIQ DE SUELDO,2023-10-02,119
FALTA COTIZ. SALUD,2023-10-02,32
RENTA = TOPE,2023-09-29,1
NO HAY IMAGENES PARA DESCARGAR,2023-09-29,5
COTIZ < LIQ DE SUELDO,2023-09-29,38
NO PROCESADO MEDIPASS,2023-09-29,61
FALTA COTIZ. SALUD,2023-09-29,18
NO IMAGENES CON API,2023-09-29,5
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-28,2
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-09-28,1
COTIZ < LIQ DE SUELDO,2023-09-28,85
NO HAY IMAGENES PARA DESCARGAR,2023-09-28,9
NO PROCESADO MEDIPASS,2023-09-28,158
RENTA = TOPE,2023-09-28,14
FALTA COTIZ. SALUD,2023-09-28,28
NO IMAGENES CON API,2023-09-27,2
RENTA = TOPE,2023-09-27,9
COTIZ < LIQ DE SUELDO,2023-09-27,88
NO PROCESADO MEDIPASS,2023-09-27,160
FALTA COTIZ. SALUD,2023-09-27,29
NO HAY IMAGENES PARA DESCARGAR,2023-09-27,9
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-26,1
COTIZ < LIQ DE SUELDO,2023-09-26,65
NO SE ENCUENTRA CODIGO AFP,2023-09-26,1
RENTA = TOPE,2023-09-26,3
NO PROCESADO MEDIPASS,2023-09-26,169
FALTA COTIZ. SALUD,2023-09-26,30
NO IMAGENES CON API,2023-09-26,1
NO HAY IMAGENES PARA DESCARGAR,2023-09-26,11
RENTA = TOPE,2023-09-25,7
NO IMAGENES CON API,2023-09-25,10
FALTA COTIZ. SALUD,2023-09-25,24
NO SE ENCUENTRAN MESES CON DIAS TRABAJADOS,2023-09-25,1
NO HAY IMAGENES PARA DESCARGAR,2023-09-25,6
NO PROCESADO MEDIPASS,2023-09-25,172
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-25,1
COTIZ < LIQ DE SUELDO,2023-09-25,98
FALTA COTIZ. SALUD,2023-09-24,2
NO PROCESADO MEDIPASS,2023-09-22,111
NO HAY IMAGENES PARA DESCARGAR,2023-09-22,2
RENTA = TOPE,2023-09-22,11
COTIZ < LIQ DE SUELDO,2023-09-22,66
FALTA COTIZ. SALUD,2023-09-22,9
NO PROCESADO MEDIPASS,2023-09-21,172
FECHA CONTRATO TRABAJO EQ FECHA AFILIACION ENTIDAD PREVISIONAL,2023-09-21,3
COTIZ < LIQ DE SUELDO,2023-09-21,82
NO IMAGENES CON API,2023-09-21,1
FALTA COTIZ. SALUD,2023-09-21,28
RENTA = TOPE,2023-09-21,19
NO HAY IMAGENES PARA DESCARGAR,2023-09-21,6
NO IMAGENES CON API,2023-09-20,70
FALTA COTIZ. SALUD,2023-09-20,23
RENTA = TOPE,2023-09-20,17
NO PROCESADO MEDIPASS,2023-09-20,116
NO HAY IMAGENES PARA DESCARGAR,2023-09-20,6
COTIZ < LIQ DE SUELDO,2023-09-20,68
FALTA COTIZ. SALUD,2023-09-19,1
